2025-02-24 00:03:44 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2025-02-24 00:03:45 install libsasl2-2:amd64 <none> 2.1.28+dfsg-10
2025-02-24 00:03:45 status half-installed libsasl2-2:amd64 2.1.28+dfsg-10
2025-02-24 00:03:45 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2025-02-24 00:03:45 install libldap-2.5-0:amd64 <none> 2.5.13+dfsg-5
2025-02-24 00:03:45 status half-installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2025-02-24 00:03:45 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2025-02-24 00:03:45 install libnghttp2-14:amd64 <none> 1.52.0-1+deb12u2
2025-02-24 00:03:45 status half-installed libnghttp2-14:amd64 1.52.0-1+deb12u2
2025-02-24 00:03:45 status unpacked libnghttp2-14:amd64 1.52.0-1+deb12u2
2025-02-24 00:03:45 install libpsl5:amd64 <none> 0.21.2-1
2025-02-24 00:03:45 status half-installed libpsl5:amd64 0.21.2-1
2025-02-24 00:03:45 status unpacked libpsl5:amd64 0.21.2-1
2025-02-24 00:03:45 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2025-02-24 00:03:45 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-24 00:03:45 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-24 00:03:45 install libssh2-1:amd64 <none> 1.10.0-3+b1
2025-02-24 00:03:45 status half-installed libssh2-1:amd64 1.10.0-3+b1
2025-02-24 00:03:45 status unpacked libssh2-1:amd64 1.10.0-3+b1
2025-02-24 00:03:45 install libcurl3-gnutls:amd64 <none> 7.88.1-10+deb12u8
2025-02-24 00:03:45 status half-installed libcurl3-gnutls:amd64 7.88.1-10+deb12u8
2025-02-24 00:03:45 status unpacked libcurl3-gnutls:amd64 7.88.1-10+deb12u8
2025-02-24 00:03:45 install libreadline8:amd64 <none> 8.2-1.3
2025-02-24 00:03:45 status half-installed libreadline8:amd64 8.2-1.3
2025-02-24 00:03:46 status unpacked libreadline8:amd64 8.2-1.3
2025-02-24 00:03:46 install gnupg1:amd64 <none> 1.4.23-1.1+b1
2025-02-24 00:03:46 status half-installed gnupg1:amd64 1.4.23-1.1+b1
2025-02-24 00:03:46 status unpacked gnupg1:amd64 1.4.23-1.1+b1
2025-02-24 00:03:46 startup packages configure
2025-02-24 00:03:46 configure libkeyutils1:amd64 1.6.3-2 <none>
2025-02-24 00:03:46 status unpacked libkeyutils1:amd64 1.6.3-2
2025-02-24 00:03:46 status half-configured libkeyutils1:amd64 1.6.3-2
2025-02-24 00:03:46 status installed libkeyutils1:amd64 1.6.3-2
2025-02-24 00:03:46 configure libpsl5:amd64 0.21.2-1 <none>
2025-02-24 00:03:46 status unpacked libpsl5:amd64 0.21.2-1
2025-02-24 00:03:46 status half-configured libpsl5:amd64 0.21.2-1
2025-02-24 00:03:46 status installed libpsl5:amd64 0.21.2-1
2025-02-24 00:03:46 configure libbrotli1:amd64 1.0.9-2+b6 <none>
2025-02-24 00:03:46 status unpacked libbrotli1:amd64 1.0.9-2+b6
2025-02-24 00:03:46 status half-configured libbrotli1:amd64 1.0.9-2+b6
2025-02-24 00:03:46 status installed libbrotli1:amd64 1.0.9-2+b6
2025-02-24 00:03:46 configure libssl3:amd64 3.0.15-1~deb12u1 <none>
2025-02-24 00:03:46 status unpacked libssl3:amd64 3.0.15-1~deb12u1
2025-02-24 00:03:46 status half-configured libssl3:amd64 3.0.15-1~deb12u1
2025-02-24 00:03:46 status installed libssl3:amd64 3.0.15-1~deb12u1
2025-02-24 00:03:46 configure libnghttp2-14:amd64 1.52.0-1+deb12u2 <none>
2025-02-24 00:03:46 status unpacked libnghttp2-14:amd64 1.52.0-1+deb12u2
2025-02-24 00:03:46 status half-configured libnghttp2-14:amd64 1.52.0-1+deb12u2
2025-02-24 00:03:46 status installed libnghttp2-14:amd64 1.52.0-1+deb12u2
2025-02-24 00:03:46 configure libkrb5support0:amd64 1.20.1-2+deb12u2 <none>
2025-02-24 00:03:46 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u2
